Character_Name,Population,Aspect_Ratio
A,0;2.8201219512195124;8.519345238095239;5.1067073170731705;0;0;7.964939024390244;0;8.689024390243901;0.855654761904762;6.6300366300366305;5.440900562851782;4.835164835164836;3.677298311444653;7.252747252747254;7.2544642857142865;0;0;0;7.403273809523809;7.142857142857142;0;0;0;0.2232142857142857,0.647975087
a,6.666666666666667;10;9.619047619047619;8.904761904761905;19.61904761904762;8.952380952380953;0;0;0;15.761904761904763;7.658536585365853;0;0;0;16.146341463414636;9.238095238095239;0;0;3.8571428571428568;12.666666666666668;4.0476190476190474;10.523809523809524;9.714285714285714;10.809523809523808;8,1.196172237
A,0;0.546448087431694;11.035585765693723;4.29352068696331;0;0;7.767369242779079;0;7.455113192818111;0.7596961215513794;3.225806451612903;11.09831029185868;4.799370574350905;7.027649769585254;8.929976396538159;7.676929228308676;0;0;0;7.596961215513795;7.716913234706118;0;0;0;6.797281087564974,0.676470578
a,0;8.062709966405375;8.79815986198965;8.51063829787234;12.486002239641657;10.414333706606943;2.1836506159014557;0;0;18.53303471444569;10.583524027459955;0;0;0;21.052631578947366;10.862262038073908;0;0;0;19.316909294512875;9.574468085106384;9.126539753639417;8.338125359401955;9.518477043673013;16.629339305711085,0.807692289
A,0;9.415584415584416;12.188552188552189;0;0;0.5194805194805194;10.454545454545453;5.185185185185185;6.233766233766234;3.1818181818181817;11.363636363636363;5.51948051948052;5.454545454545454;13.83116883116883;4.545454545454546;10.779220779220779;0;0;0;10.909090909090908;10.519480519480519;0;0;0;1.2987012987012987,0.50545454
a,0.9803921568627451;15.392156862745098;13.823529411764707;13.333333333333334;30.294117647058822;14.117647058823529;0.09803921568627451;0;0;16.666666666666664;11.954459203036052;0;0;0;24.193548387096776;12.941176470588237;0;0;7.549019607843137;19.80392156862745;11.372549019607844;13.823529411764707;14.117647058823529;9.607843137254903;11.666666666666666,1.125827789
A,0;16.08888888888889;8.796296296296296;0;0;0;12.272727272727273;5.587121212121212;8.09090909090909;0;10.555555555555555;8.622222222222224;6.7592592592592595;14.933333333333335;6.018518518518518;12.878787878787879;0;0;0;12.973484848484848;12.685185185185185;0;0;0;7.314814814814814,0.547085226
a,0.06839945280437756;11.354309165526676;12.044817927170868;11.76470588235294;24.145006839945278;14.6843853820598;0.9302325581395349;0;0;16.27906976744186;9.370725034199728;0;0;0;17.852257181942544;11.694352159468439;0;0;3.7873754152823924;16.877076411960132;1.5047879616963065;13.474692202462379;11.694677871148459;12.10670314637483;9.712722298221614,1.244186044
A,0;17.923280423280424;4.38957475994513;0;0;7.133058984910837;3.7698412698412698;10.562414266117969;1.2566137566137565;0;14.814814814814813;5.489417989417989;5.41838134430727;16.534391534391535;0.7544581618655692;11.11111111111111;0;0;3.3068783068783065;8.50480109739369;11.248285322359397;0;0;0;8.641975308641975,0.507407427
a,9.214092140921409;9.62962962962963;8.292682926829269;8.73015873015873;17.77777777777778;9.862142099681867;0;0;0;19.830328738069987;9.43089430894309;0;0;5.132275132275133;15.284552845528454;10.445387062566278;0;0.05302226935312832;11.594202898550725;9.75609756097561;5.420054200542006;10.264550264550266;11.707317073170733;0.4761904761904762;9.86449864498645,0.911894262
A,0;0;0;7.583333333333334;8.833333333333334;0;0;7.845528455284553;0.75;7.5;0;7.203389830508475;6.862339809838776;4.957627118644068;10.508474576271185;3.3333333333333335;5.083333333333333;0;0;7.625;8.375;0;0;0;0.16666666666666669,0.672240794
a,0;5.647840531561462;9.720930232558139;9.539629805410536;16.558139534883722;8.90909090909091;4.499072356215214;0;0;11.363636363636363;8.418604651162791;0;0;0;11.534883720930232;7.818181818181818;0;0;0;17.045454545454543;9.255813953488373;9.112482202183198;9.534883720930234;10.299003322259136;10.325581395348838,1.142857194
A,0;0;35.406698564593306;17.543859649122805;0;0;17.982456140350877;9.090909090909092;26.31578947368421;0;0;32.01754385964912;16.267942583732058;24.12280701754386;20.095693779904305;17.22488038277512;10.964912280701753;0;0;27.751196172248804;29.665071770334926;0;0;0;11.483253588516746,0.600000024
a,10.569105691056912;9.631019387116948;9.207317073170731;10.131332082551594;21.513445903689806;10.631644777986242;0;0;0;19.949968730456536;9.768009768009769;0;0;0;18.4981684981685;10.694183864915573;0;0;6.879299562226391;15.634771732332709;9.631019387116948;10.068792995622264;10.182926829268292;8.818011257035648;9.1307066916823,0.951456308
B,39.21568627450981;18.181818181818183;20.588235294117645;16.0427807486631;0;25;0;3.6458333333333335;28.40909090909091;0;25.49019607843137;4.81283422459893;36.27450980392157;18.71657754010695;9.313725490196079;21.875;3.4090909090909087;0;0;28.645833333333332;3.431372549019608;33.155080213903744;17.647058823529413;19.786096256684495;24.019607843137255,0.698795199
b,21.356275303643724;0;0;0;0;20.1417004048583;0;0;0;0;21.052631578947366;0;0;0;0;25.607287449392715;8.097165991902834;7.6923076923076925;8.299595141700406;19.4331983805668;26.923076923076923;7.6923076923076925;7.995951417004049;9.31174089068826;11.133603238866396,0.366795361
B,18.96135265700483;10.144927536231885;8.45959595959596;10.144927536231885;5.193236714975845;0;13.405797101449277;0;6.763285024154589;9.782608695652174;0;13.41614906832298;11.558441558441558;12.173913043478262;7.453416149068323;0;9.541062801932366;3.787878787878788;0;13.285024154589372;2.0531400966183577;8.333333333333332;17.803030303030305;8.333333333333332;12.922705314009661,0.636871517
b,26.49122807017544;0;0;0;0;24.736842105263158;0;0;0;0;26.666666666666668;9.12280701754386;10.526315789473683;10.87719298245614;11.228070175438596;26.666666666666668;0;0;0;28.421052631578945;29.64912280701754;12.280701754385964;13.157894736842104;12.631578947368421;6.140350877192982,0.394736856
B,18.194444444444443;8.333333333333332;8.333333333333332;8.91812865497076;14.722222222222223;14.864864864864865;0;0;4.978662873399715;15;14.722222222222223;3.654970760233918;17.916666666666668;14.619883040935672;2.7777777777777777;15;0;0;0;16.89189189189189;15.138888888888888;8.333333333333332;8.472222222222223;9.35672514619883;5,0.538461566
b,13.855799373040753;0;0;0;0;13.22884012539185;0;0;0;0;18.369905956112852;7.2727272727272725;7.523510971786834;2.7586206896551726;0;13.793103448275861;0;0;5.015673981191222;14.858934169278998;16.99059561128527;8.087774294670847;7.586206896551724;8.025078369905957;11.15987460815047,0.527272701
B,16.354679802955665;8.571428571428571;8.571428571428571;8.571428571428571;12.807881773399016;10.344827586206897;0;0;0;12.9064039408867;10.53639846743295;0;8.14176245210728;17.911877394636015;4.597701149425287;10.246305418719212;0;0;0;12.31527093596059;18.620689655172416;8.669950738916256;8.571428571428571;8.669950738916256;7.389162561576355,0.823863626
b,0;0;35.82887700534759;0;0;0;3.1862745098039214;33.42245989304813;0;0;0;32.142857142857146;10.129870129870131;12.619047619047619;8.571428571428571;15.686274509803921;19.362745098039216;0;0;34.068627450980394;41.911764705882355;11.76470588235294;12.032085561497325;12.990196078431374;20.34313725490196,0.345029235
B,14.91891891891892;8.108108108108109;8.212058212058212;8.756756756756756;2.810810810810811;5.081081081081082;7.027027027027027;0;0;13.297297297297298;0;17.513513513513512;11.642411642411643;9.945945945945946;2.4864864864864864;0;12;4.781704781704782;8.64864864864865;10.594594594594595;8.108108108108109;15.027027027027026;8.004158004158004;8.216216216216216;15.027027027027026,0.681081057
b,19.88888888888889;0;0;0;0;19.11111111111111;0;0;0;0;24.545454545454547;9.090909090909092;8.441558441558442;9.772727272727273;14.204545454545455;20.444444444444446;0;0;0;20.77777777777778;15.222222222222223;9.11111111111111;9.417989417989418;12.222222222222221;7.555555555555555,0.450892866
B,14.772727272727273;6.8181818181818175;7.2481572481572485;3.1698564593301435;0;7.833537331701345;0;0;9.1187270501836;0;7.775119617224881;3.4090909090909087;14.066339066339067;9.808612440191387;1.9138755980861244;7.77233782129743;0;0;0;10.03671970624235;2.9904306220095696;9.150717703349283;6.87960687960688;7.057416267942583;8.732057416267942,0.866972506
b,22.04861111111111;0;0;0;0;22.22222222222222;0;0;0;0;28.993055555555557;12.5;13.194444444444445;14.309210526315788;3.125;22.22222222222222;0;0;0;24.479166666666664;30.729166666666668;12.5;12.5;12.335526315789473;26.73611111111111,0.574999988
B,20.242424242424242;9.090909090909092;10.47979797979798;9.575757575757576;0;6.787878787878789;5.454545454545454;7.449494949494949;8.727272727272728;0;0;14.249999999999998;13.671875;9.625;12.625;0;12;0;0;13.818181818181818;0.48484848484848486;20.606060606060606;9.469696969696969;9.818181818181818;4.7272727272727275,0.756097555
b,19.871794871794872;0;0;0;0;20;0;0;0;0;24.102564102564102;10.384615384615385;10.6612685560054;10.64102564102564;8.974358974358974;20;0;0;0;20.789473684210527;17.435897435897434;6.794871794871795;11.06612685560054;11.666666666666666;11.923076923076923,0.512953341
C,0;10.901001112347053;10.901001112347053;10.344827586206897;13.236929922135706;10.10752688172043;1.7204301075268817;0;0;0.5376344086021506;10.233592880978867;0;0;0;0;10.53763440860215;0;0;0;0;8.342602892102335;11.012235817575084;10.233592880978867;10.233592880978867;10.122358175750835,1.054421782
c,5.76036866359447;14.631336405529954;13.348164627363737;12.903225806451612;12.672811059907835;16.705069124423964;0;0;0;0;14.400921658986174;0;0;0;0;16.474654377880185;0.2304147465437788;0;0;0;0.6912442396313364;14.746543778801843;13.681868743047831;13.018433179723502;8.986175115207374,0.909677446
C,10.576923076923077;9.615384615384617;9.722222222222223;8.774038461538462;0;12.034739454094293;0;0;0;0;11.899038461538462;0;0;0;0;13.647642679900745;0.7444168734491315;0;0;0;0;10.576923076923077;10.185185185185185;9.495192307692307;9.735576923076923,0.829113901
c,0;6.625258799171843;20.082815734989648;19.875776397515526;19.047619047619047;16.99604743083004;14.42687747035573;0;0;0;20.28985507246377;0;0;0;0;11.462450592885375;20.158102766798418;5.33596837944664;0;0;0;0;15.527950310559005;20.910973084886127;15.320910973084887,1.074766397
C,17.333333333333336;23.03030303030303;20;20;0;32.142857142857146;0;0;0;0;30.666666666666664;0;0;0;0;30;0;0;0;0;28.000000000000004;21.21212121212121;20;23.03030303030303;23.333333333333332,0.712328792
c,3.626373626373627;13.296703296703297;12;11.868131868131867;1.5384615384615385;17.142857142857142;0;0;0;0;14.957264957264957;0;0;0;0;17.36263736263736;0;0;0;0;4.175824175824175;13.846153846153847;11.771428571428572;11.098901098901099;13.846153846153847,0.732954562
C,10.13986013986014;12.121212121212121;12.139423076923077;9.906759906759907;0;10.13986013986014;0;0;0;0;9.44055944055944;0;0;0;0;10.372960372960373;0;0;0;5.361305361305361;6.643356643356643;12.703962703962704;11.538461538461538;12.121212121212121;10.023310023310025,1.261538506
c,2.784090909090909;9.965034965034965;9.090909090909092;9.324009324009324;4.204545454545454;11.59090909090909;0;0;0;0;11.5;0;0;0;0;4.090909090909091;11.072261072261073;2.102272727272727;0;0;0;0;8.46590909090909;9.73193473193473;9.318181818181818,0.895927608
C,12.3015873015873;14.682539682539684;14.285714285714285;15.277777777777779;13.88888888888889;13.095238095238097;0;0;0;5.555555555555555;12.698412698412698;0;0;0;0;15.476190476190476;0;0;0;0;5.357142857142857;16.46825396825397;14.492753623188406;14.285714285714285;8.73015873015873,1.133333325
c,5.88235294117647;14.425770308123248;12.205882352941176;11.76470588235294;11.484593837535014;21.06782106782107;0;0;0;0;20.028011204481793;0;0;0;0;11.255411255411255;12.842712842712842;0;0;0;0;3.5014005602240896;14.26470588235294;13.025210084033615;9.663865546218489,0.619047642
C,4.885057471264368;14.224137931034484;12.5;13.505747126436782;7.327586206896551;12.5;0;0;0;0;10.620689655172413;0;0;0;0;11.781609195402298;0;0;0;0;9.051724137931034;13.218390804597702;12.5;12.5;12.5,1.198347092
c,0.1610305958132045;17.236024844720497;18.19645732689211;17.391304347826086;17.06924315619968;20.128824476650564;1.8633540372670807;0;0;0;15.432098765432098;0;0;0;0;19.96779388083736;0.6211180124223602;0;0;0;0.8051529790660225;19.72049689440994;18.035426731078903;17.70186335403727;10.305958132045088,1.181034446
C,1.4460511679644048;11.7908787541713;10.253456221198157;12.680756395995552;3.114571746384872;12.458286985539488;0;0;0;3.337041156840934;10.668103448275861;0;0;0;0;11.902113459399333;0;0;0;1.8909899888765296;5.228031145717464;11.123470522803114;9.90783410138249;9.899888765294772;12.791991101223582,0.923076928
c,0.7575757575757576;22.727272727272727;19.444444444444446;6.220095693779904;0;25.757575757575758;0.7177033492822966;0;0;0;22.727272727272727;0;0;0;0;25.757575757575758;0;0;0;0;3.787878787878788;22.00956937799043;19.19191919191919;18.181818181818183;20.2020202020202,0.836363614
D,21.25;10.833333333333334;11.733333333333333;2.7777777777777777;0;12.5;0;0;10.080645161290322;6.989247311827956;12.5;0;0;0;13.750000000000002;12.5;0;0;0;12.903225806451612;13.61111111111111;10.13888888888889;10;11.11111111111111;10.13888888888889,0.796052635
D,27.42382271468144;15.789473684210526;16.95906432748538;15.789473684210526;0;15.789473684210526;0;0;3.32409972299169;19.113573407202217;15.789473684210526;0;0;0;16.06648199445983;15.789473684210526;0;0;0;19.94459833795014;18.282548476454295;16.343490304709142;16.08187134502924;20.221606648199447;2.21606648199446,0.989473701
D,24.16225749559083;11.11111111111111;12.222222222222221;11.11111111111111;0;13.932980599647266;0;0;2.6455026455026456;14.991181657848324;14.285714285714285;0;0;0;14.652014652014653;14.285714285714285;0;0;0.5291005291005291;18.342151675485006;17.10758377425044;11.28747795414462;12.222222222222221;12.16931216931217;0.5291005291005291,0.776119411
D,2.355072463768116;22.395833333333336;13.768115942028986;7.986111111111111;0;0;12.5;0;7.986111111111111;11.77536231884058;0;12.5;0;0;14.31159420289855;0;12.5;0;0;16.847826086956523;12.13768115942029;23.61111111111111;12.862318840579709;13.368055555555555;3.804347826086957,0.975000024
D,28.676470588235293;13.425925925925927;13.970588235294118;7.175925925925926;0;17.647058823529413;0;0;8.564814814814815;15.196078431372548;17.647058823529413;0;0;0;18.15856777493606;17.647058823529413;0;0;7.175925925925926;17.892156862745097;15.686274509803921;13.88888888888889;14.950980392156863;6.944444444444445;0,0.731092453
D,23.076923076923077;12.040133779264215;12.412587412587413;11.20401337792642;0;13.043478260869565;0;0;1.6722408026755853;15.88628762541806;13.043478260869565;0;0;0;13.20450885668277;13.043478260869565;0;0;1.6722408026755853;16.220735785953178;17.558528428093645;11.538461538461538;11.538461538461538;12.207357859531772;0,0.870229006
D,46.03174603174603;21.428571428571427;22.22222222222222;26.42857142857143;15.873015873015872;33.33333333333333;0;0;0;34.92063492063492;33.33333333333333;0;0;0;34.12698412698413;34.12698412698413;0;1.5873015873015872;24.285714285714285;24.6031746031746;46.82539682539682;25;23.809523809523807;2.857142857142857;0,0.671428561
E,26.38888888888889;16.666666666666664;15.873015873015872;16.666666666666664;7.222222222222221;15;0;0;0;0;25.588235294117645;17.647058823529413;17.647058823529413;15;3.823529411764706;15;0;0;2.5;1.9444444444444444;13.055555555555557;17.22222222222222;16.666666666666664;16.11111111111111;18.333333333333332,1.134831429
E,17.46031746031746;14.285714285714285;14.109347442680775;13.580246913580247;14.285714285714285;14.991181657848324;0.1763668430335097;0;0;0;14.47811447811448;13.299663299663301;13.804713804713806;14.14141414141414;0;11.28747795414462;0;0;0;0;14.991181657848324;14.109347442680775;14.285714285714285;11.28747795414462;0,1.273584962
E,25.438596491228072;15.789473684210526;15.497076023391813;15.789473684210526;1.461988304093567;16.666666666666664;0;0;0;0;26.608187134502927;15.789473684210526;15.789473684210526;15.789473684210526;15.497076023391813;16.666666666666664;0;0;0;0;23.099415204678362;15.789473684210526;15.789473684210526;15.789473684210526;13.742690058479532,0.947368443
E,17.424242424242426;13.636363636363635;13.636363636363635;13.636363636363635;13.383838383838384;16.908212560386474;0;0;0;0;26.262626262626267;13.383838383838384;13.903743315508022;13.88888888888889;2.0202020202020203;16.425120772946862;0;0;0;0;21.71717171717172;13.636363636363635;13.636363636363635;15.404040404040403;0,0.794642866
E,31.59722222222222;18.75;18.75;18.75;18.40277777777778;19.25925925925926;6.666666666666667;6.666666666666667;2.2222222222222223;0;22.22222222222222;12.5;12.5;16.666666666666664;6.944444444444445;16.666666666666664;0;0;0;0;20.48611111111111;18.75;18.75;19.444444444444446;3.8194444444444446,1.141025662
E,29.13165266106443;14.285714285714285;14.285714285714285;12.5;0;17.647058823529413;0;0;0;0;18.207282913165265;14.285714285714285;14.285714285714285;14.285714285714285;9.523809523809524;17.647058823529413;0;0;0;1.4705882352941175;19.88795518207283;14.285714285714285;14.285714285714285;14.285714285714285;14.005602240896359,0.805825233
E,27.884615384615387;19.270833333333336;18.75;18.75;15.865384615384615;23.076923076923077;0;4.072398190045249;5.88235294117647;2.262443438914027;37.019230769230774;18.75;13.942307692307693;12.5;5.769230769230769;22.624434389140273;0;0;0;0;15.865384615384615;21.354166666666664;18.75;18.75;18.75,0.768292665
F,23.304347826086957;13.043478260869565;13.043478260869565;13.043478260869565;1.9130434782608694;12;0;0;1.8181818181818181;8.90909090909091;19.652173913043477;13.043478260869565;12.5;11.304347826086957;4.3478260869565215;12;0;0;0;0;11.826086956521738;0;0;0;0,1.097345114
F,28.333333333333332;14.705882352941178;15;15;3.0555555555555554;16.666666666666664;8.823529411764707;15;15;14.722222222222223;16.374269005847953;5.572755417956656;0;0;0;16.38888888888889;0;0;0;0;16.666666666666664;0;0;0;0,0.888888896
F,25;13.636363636363635;13.636363636363635;10.950413223140496;0;14.06926406926407;0;2.484472049689441;7.35930735930736;9.307359307359308;17.768595041322314;13.842975206611571;11.067193675889328;6.6115702479338845;4.545454545454546;3.0303030303030303;10.822510822510822;0;0;0;0;13.429752066115702;0;0;0,1.027777791
F,20.238095238095237;10.851648351648352;10.582010582010582;10.43956043956044;10.44973544973545;11.243386243386242;3.571428571428571;3.571428571428571;6.043956043956044;5.158730158730158;19.17989417989418;7.142857142857142;7.142857142857142;4.670329670329671;2.6455026455026456;11.11111111111111;0;0;0;0;10.978835978835978;0;0;0;0,0.949999988
F,18.095238095238095;14.545454545454545;11.80952380952381;12;3.428571428571429;24.19047619047619;12;11.80952380952381;11.818181818181818;6.2857142857142865;13.904761904761905;0;0;0;5.904761904761905;14.095238095238095;0;0;0;0;14.095238095238095;0;0;0;0,0.856000006
F,26.666666666666668;14.285714285714285;14.285714285714285;11.564625850340136;0;15.909090909090908;14.06926406926407;13.863636363636363;13.636363636363635;13.636363636363635;7.142857142857142;7.936507936507936;0;0;0;0;14.502164502164502;0;0;0;0;14.285714285714285;0;0;0,0.953271031
